Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_891_R225-2_S97.sort.GT,n,24678,0.9912,0.00843,0.00036,0.9912
MAnderson017_892_R225-2_S58.sort.GT,1,236,0.00948,0.00948,0.00024,0.99028
MAnderson017_892_R225-2_S58.sort.GT,2,6,0.00024,0.00948,0.00024,0.99028
MAnderson017_892_R225-2_S58.sort.GT,n,24648,0.99028,0.00948,0.00024,0.99028
MAnderson017_893_R225-2_S92.sort.GT,1,194,0.0078,0.0078,0.00056,0.99164
MAnderson017_893_R225-2_S92.sort.GT,2,14,0.00056,0.0078,0.00056,0.99164
MAnderson017_893_R225-2_S92.sort.GT,n,24676,0.99164,0.0078,0.00056,0.99164
MAnderson017_894_R225-2_S34.sort.GT,1,199,0.008,0.008,0.00036,0.99164
MAnderson017_894_R225-2_S34.sort.GT,2,9,0.00036,0.008,0.00036,0.99164
MAnderson017_894_R225-2_S34.sort.GT,n,24675,0.99164,0.008,0.00036,0.99164
MAnderson017_895_R225-2_S36.sort.GT,1,212,0.00851,0.00851,0.00052,0.99097
MAnderson017_895_R225-2_S36.sort.GT,2,13,0.00052,0.00851,0.00052,0.99097
MAnderson017_895_R225-2_S36.sort.GT,n,24683,0.99097,0.00851,0.00052,0.99097
MAnderson017_896_R225-2_S54.sort.GT,1,186,0.00748,0.00748,0.00121,0.99131
MAnderson017_896_R225-2_S54.sort.GT,2,30,0.00121,0.00748,0.00121,0.99131
MAnderson017_896_R225-2_S54.sort.GT,n,24649,0.99131,0.00748,0.00121,0.99131
MAnderson017_899_R225-2_S40.sort.GT,1,231,0.00928,0.00928,0.00048,0.99024
MAnderson017_899_R225-2_S40.sort.GT,2,12,0.00048,0.00928,0.00048,0.99024
MAnderson017_899_R225-2_S40.sort.GT,n,24653,0.99024,0.00928,0.00048,0.99024
MAnderson017_900_R225-2_S88.sort.GT,1,221,0.00888,0.00888,0.00052,0.9906
MAnderson017_900_R225-2_S88.sort.GT,2,13,0.00052,0.00888,0.00052,0.9906
MAnderson017_900_R225-2_S88.sort.GT,n,24667,0.9906,0.00888,0.00052,0.9906
MAnderson017_901_R225-2_S99.sort.GT,1,219,0.00879,0.00879,0.0002,0.99101
MAnderson017_901_R225-2_S99.sort.GT,2,5,0.0002,0.00879,0.0002,0.99101
MAnderson017_901_R225-2_S99.sort.GT,n,24682,0.99101,0.00879,0.0002,0.99101
MAnderson017_902_R225-2_S59.sort.GT,1,212,0.00852,0.00852,0.00024,0.99124
MAnderson017_902_R225-2_S59.sort.GT,2,6,0.00024,0.00852,0.00024,0.99124
