Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_907_R225-2_S35_R1_001_val_1.sort.GT,2,72,0.00306,0.01063,0.00306,0.9863
MAnderson017_907_R225-2_S35_R1_001_val_1.sort.GT,n,23186,0.9863,0.01063,0.00306,0.9863
MAnderson017_908_R225-2_S83_R1_001_val_1.sort.GT,1,318,0.01351,0.01351,0.0003,0.9862
MAnderson017_908_R225-2_S83_R1_001_val_1.sort.GT,2,7,0.0003,0.01351,0.0003,0.9862
MAnderson017_908_R225-2_S83_R1_001_val_1.sort.GT,n,23221,0.9862,0.01351,0.0003,0.9862
MAnderson017_911_R225-2_S41_R1_001_val_1.sort.GT,1,338,0.01435,0.01435,0.00017,0.98548
MAnderson017_911_R225-2_S41_R1_001_val_1.sort.GT,2,4,0.00017,0.01435,0.00017,0.98548
MAnderson017_911_R225-2_S41_R1_001_val_1.sort.GT,n,23205,0.98548,0.01435,0.00017,0.98548
MAnderson017_912_R225-2_S39_R1_001_val_1.sort.GT,1,286,0.01215,0.01215,0.0003,0.98756
MAnderson017_912_R225-2_S39_R1_001_val_1.sort.GT,2,7,0.0003,0.01215,0.0003,0.98756
MAnderson017_912_R225-2_S39_R1_001_val_1.sort.GT,n,23251,0.98756,0.01215,0.0003,0.98756
MAnderson017_914_R225-2_S120_R1_001_val_1.sort.GT,1,486,0.02064,0.02064,0.00166,0.9777
MAnderson017_914_R225-2_S120_R1_001_val_1.sort.GT,2,39,0.00166,0.02064,0.00166,0.9777
MAnderson017_914_R225-2_S120_R1_001_val_1.sort.GT,n,23020,0.9777,0.02064,0.00166,0.9777
MAnderson017_915_R225-2_S37_R1_001_val_1.sort.GT,1,309,0.01312,0.01312,0.00025,0.98662
MAnderson017_915_R225-2_S37_R1_001_val_1.sort.GT,2,6,0.00025,0.01312,0.00025,0.98662
MAnderson017_915_R225-2_S37_R1_001_val_1.sort.GT,n,23230,0.98662,0.01312,0.00025,0.98662
MAnderson017_917_R225-2_S73_R1_001_val_1.sort.GT,1,365,0.0155,0.0155,0.00068,0.98382
MAnderson017_917_R225-2_S73_R1_001_val_1.sort.GT,2,16,0.00068,0.0155,0.00068,0.98382
MAnderson017_917_R225-2_S73_R1_001_val_1.sort.GT,n,23162,0.98382,0.0155,0.00068,0.98382
MAnderson017_918_R225-2_S117_R1_001_val_1.sort.GT,1,327,0.01389,0.01389,0.00042,0.98569
MAnderson017_918_R225-2_S117_R1_001_val_1.sort.GT,2,10,0.00042,0.01389,0.00042,0.98569
MAnderson017_918_R225-2_S117_R1_001_val_1.sort.GT,n,23209,0.98569,0.01389,0.00042,0.98569
MAnderson017_921_R225-2_S82_R1_001_val_1.sort.GT,1,296,0.01257,0.01257,0.00038,0.98705
MAnderson017_921_R225-2_S82_R1_001_val_1.sort.GT,2,9,0.00038,0.01257,0.00038,0.98705
MAnderson017_921_R225-2_S82_R1_001_val_1.sort.GT,n,23241,0.98705,0.01257,0.00038,0.98705
